service_id,date,exception_type
813A1219,20140101,2
6A981,20130704,2
5A981,20130902,2
6A981,20131225,2
8A1062,20140217,2
5A981,20130704,2
6A981,20130902,1
792A1219,20140101,2
5A981,20131225,2
6A981,20131128,2
5A981,20131128,2
5A981,20131129,2
6A981,20131129,1
5A981,20131226,2
791A1219,20140724,1
791A1219,20130902,1
790A1219,20131128,2
813A1219,20130902,2
790A1219,20140101,2
792A1219,20131225,2
790A1219,20140704,2
8A1062,20130704,2
8A1062,20130527,2
8A1062,20130902,2
8A1062,20131128,2
6A981,20131226,1
8A1062,20131225,2
9A1062,20140217,1
9A1062,20140101,2
791A1219,20140116,1
792A1219,20140704,2
813A1219,20140116,2
792A1219,20140116,2
791A1219,20140217,1
813A1219,20140724,2
813A1219,20140217,2
792A1219,20140217,2
792A1219,20140724,2
790A1219,20131225,2
791A1219,20131225,2
791A1219,20140704,2
9A1062,20130902,1
9A1062,20130527,1
791A1219,20131128,2
791A1219,20140101,2
813A1219,20131226,2
8A1062,20140101,2
9A1062,20130704,2
9A1062,20131128,2
9A1062,20131129,1
8A1062,20131129,2
9A1062,20131225,2
9A1062,20131226,1
8A1062,20131226,2
9A1062,20140120,1
8A1062,20140120,2
813A1219,20131128,2
792A1219,20131128,2
792A1219,20130902,2
791A1219,20131129,1
813A1219,20131129,2
792A1219,20131129,2
791A1219,20131226,1
792A1219,20131226,2
