trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
85A8B1062,06:37:00,06:37:00,1361,1,"",0,0,0
85A8B1062,06:37:00,06:37:00,1364,2,"",0,0,0.101794962825
85A8B1062,06:38:00,06:38:00,1363,3,"",0,0,0.319881487192
85A8B1062,06:38:00,06:38:00,1362,4,"",0,0,0.548382139348
85A8B1062,06:39:00,06:39:00,1360,5,"",0,0,0.840666180112
85A8B1062,06:39:00,06:39:00,1357,6,"",0,0,1.18772867611
85A8B1062,06:44:00,06:44:00,758981,7,"",0,0,1.42573729909
85A8B1062,06:44:00,06:44:00,758983,8,"",0,0,1.6861399933
85A8B1062,06:45:00,06:45:00,1350,9,"",0,0,2.05787009284
85A8B1062,06:46:00,06:46:00,1312,10,"",0,0,2.22330382274
85A8B1062,06:46:00,06:46:00,1313,11,"",0,0,2.44795254305
85A8B1062,06:47:00,06:47:00,1291,12,"",0,0,2.66643877792
85A8B1062,06:48:00,06:48:00,1292,13,"",0,0,3.05906383075
85A8B1062,06:48:00,06:48:00,1293,14,"",0,0,3.26649628654
85A8B1062,06:49:00,06:49:00,1390,15,"",0,0,3.62242969275
85A8B1062,06:51:00,06:51:00,1401,16,"",0,0,4.02453104485
85A8B1062,06:52:00,06:52:00,1402,17,"",0,0,4.24033078609
85A8B1062,06:59:00,07:00:00,1415,18,"",1,0,4.6553730759
86A8B1062,10:59:00,11:00:00,1415,1,"",0,1,0
86A8B1062,11:00:00,11:00:00,1416,2,"",0,0,0.314783538751
86A8B1062,11:03:00,11:03:00,1406,3,"",0,0,0.941761473511
86A8B1062,11:04:00,11:04:00,1405,4,"",0,0,1.04351914256
86A8B1062,11:04:00,11:04:00,1409,5,"",0,0,1.27960875675
86A8B1062,11:05:00,11:05:00,1410,6,"",0,0,1.43115721362
86A8B1062,11:09:00,11:09:00,1309,7,"",0,0,1.88094635101
86A8B1062,11:11:00,11:11:00,1319,8,"",0,0,2.22582037413
86A8B1062,11:12:00,11:12:00,1322,9,"",0,0,2.43990862436
86A8B1062,11:13:00,11:13:00,758985,10,"",0,0,2.84213077182
86A8B1062,11:15:00,11:15:00,1365,11,"",0,0,3.14191375402
86A8B1062,11:16:00,11:16:00,1394,12,"",0,0,3.36694009456
86A8B1062,11:17:00,11:17:00,1391,13,"",0,0,3.68251134159
86A8B1062,11:18:00,11:18:00,1392,14,"",0,0,4.07463667718
86A8B1062,11:19:00,11:19:00,1393,15,"",0,0,4.34075317858
86A8B1062,11:20:00,11:20:00,1395,16,"",0,0,4.52413071004
86A8B1062,11:21:00,11:21:00,759033,17,"",0,0,4.81713052249
86A8B1062,11:24:00,11:32:00,758981,18,"",0,0,5.15383686383
86A8B1062,11:33:00,11:33:00,1330,19,"",0,0,5.78214238836
