route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed,bikes_allowed
6,8A1062,85A8B1062,"","(Loop)",,5,0,0,0
6,8A1062,86A8B1062,"","(Loop)",,5,1,0,0
5,9A1062,87A9B1062,"","(Loop)",,4,2,0,0
13,5A981,200A5B981,"","(Loop)",,7,3,0,0
13,5A981,108A5B981,"","(Loop)",,7,3,0,0
13,5A981,107A5B981,"","(Loop)",,7,3,0,0
14,5A981,113A5B981,"","(Loop)",,8,4,0,0
14,5A981,114A5B981,"","(Loop)",,8,4,0,0
14,5A981,115A5B981,"","(Loop)",,8,4,0,0
14,5A981,116A5B981,"","(Loop)",,8,4,0,0
14,5A981,118A5B981,"","(Loop)",,8,4,0,0
14,5A981,119A5B981,"","(Loop)",,8,4,0,0
14,5A981,120A5B981,"","(Loop)",,8,4,0,0
14,5A981,121A5B981,"","(Loop)",,8,4,0,0
14,5A981,122A5B981,"","(Loop)",,8,4,0,0
14,5A981,123A5B981,"","(Loop)",,8,4,0,0
14,5A981,124A5B981,"","(Loop)",,8,4,0,0
14,5A981,125A5B981,"","(Loop)",,8,4,0,0
14,5A981,126A5B981,"","(Loop)",,8,4,0,0
14,5A981,127A5B981,"","(Loop)",,8,4,0,0
13,5A981,106A5B981,"","(Loop)",,7,3,0,0
15,6A981,134A6B981,"","(Loop)",,9,5,0,0
15,6A981,135A6B981,"","(Loop)",,9,5,0,0
15,6A981,136A6B981,"","(Loop)",,9,5,0,0
15,6A981,137A6B981,"","(Loop)",,9,5,0,0
15,6A981,138A6B981,"","(Loop)",,9,5,0,0
15,6A981,139A6B981,"","(Loop)",,9,5,0,0
15,6A981,140A6B981,"","(Loop)",,9,5,0,0
15,6A981,141A6B981,"","(Loop)",,9,5,0,0
15,6A981,142A6B981,"","(Loop)",,9,5,0,0
4,8A1062,39709A8B1062,"","(Loop)",,2,6,0,0
4,8A1062,39704A8B1062,"","(Loop)",,2,6,0,0
4,8A1062,39706A8B1062,"","(Loop)",,2,6,0,0
4,8A1062,39705A8B1062,"","(Loop)",,2,6,0,0
