trip_id,route_id,service_id,trip_headsign,block_id,shape_id
597,11,1,Outbound,9405,2
971,13,1,Outbound,4402,69
2406,39,1,Outbound,9916,39
69,7,1,Inbound,4104,0
2356,14,2,Outbound,4405,48
2049,20,1,Inbound,9403,9
237,1,3,Outbound,6402,34
366,8,2,Inbound,4401,33
402,10,2,Outbound,6001,28
1369,21,1,Outbound,9901,29
2178,35,1,Inbound,1011,47
1690,5,1,Inbound,6002,22
52,7,1,Outbound,4101,4
1147,16,2,Inbound,6604,18
1705,5,1,Inbound,6001,22
986,13,1,Inbound,4402,21
2101,36,1,Inbound,4131,75
831,35,1,Inbound,1012,47
1473,2,1,Outbound,4103,32
1034,14,1,Inbound,4401,67
1398,1,1,Outbound,1202,34
148,8,1,Inbound,6203,33
1215,18,1,Inbound,6802,27
181,11,1,Inbound,9401,3
1076,15,1,Outbound,6402,53
714,33,3,Inbound,6603,78
1801,12,1,Outbound,6002,20
1059,14,3,Inbound,4402,72
1386,37,1,Inbound,9921,35
1632,28,1,Inbound,4201,13
819,35,1,Inbound,1012,47
410,13,2,Outbound,4404,68
2145,29,2,Outbound,4301,59
1840,12,3,Outbound,6003,20
2137,29,2,Outbound,4301,59
66,7,1,Inbound,4101,0
1172,16,3,Inbound,6601,18
399,10,2,Outbound,6001,28
1987,17,1,Inbound,6701,11
296,7,2,Inbound,4101,0
1941,15,3,Outbound,6401,53
1249,18,2,Inbound,6802,27
1572,5,3,Outbound,6001,1
231,1,2,Outbound,6401,34
1722,9,1,Outbound,1201,17
248,2,3,Outbound,1201,32
1054,14,2,Inbound,6204,72
113,8,1,Outbound,4407,8
551,16,2,Outbound,6601,14
760,35,1,Outbound,1012,5
493,10,2,Inbound,6003,7
204,16,1,Outbound,6601,42
1325,35,2,Inbound,1011,74
262,7,2,Outbound,4101,4
2150,29,2,Inbound,4301,56
951,10,1,Inbound,6822,7
1611,28,1,Outbound,4211,12
703,33,3,Outbound,6601,23
2157,18,3,Outbound,6801,15
206,16,1,Outbound,6605,42
748,35,1,Outbound,1012,5
157,11,1,Inbound,9405,3
767,35,1,Outbound,1013,5
77,7,1,Inbound,4104,0
2043,20,1,Inbound,9401,9
1789,10,3,Inbound,6003,7
362,8,2,Outbound,6203,8
2334,13,2,Outbound,4401,43
1294,35,2,Outbound,1011,19
87,7,1,Inbound,4102,0
176,11,1,Inbound,9402,3
2286,11,2,Outbound,6601,2
17,2,1,Outbound,6602,32
158,11,1,Inbound,9401,3
1186,16,3,Inbound,6603,18
1102,16,1,Inbound,6603,18
697,33,3,Outbound,6603,23
966,13,1,Outbound,4407,69
137,8,1,Inbound,6203,33
171,11,1,Inbound,9403,3
768,35,1,Outbound,1011,5
726,33,3,Inbound,6603,78
2277,11,2,Outbound,6602,2
1450,1,2,Inbound,6403,51
1892,14,1,Inbound,4401,67
1014,13,2,Inbound,4404,21
2285,11,2,Outbound,6605,2
253,2,3,Outbound,1201,32
1161,16,2,Inbound,6603,60
164,11,1,Inbound,9405,3
970,13,1,Outbound,4404,69
2278,11,2,Outbound,6603,2
930,10,1,Outbound,6804,28
1749,9,2,Outbound,1201,17
1755,9,2,Outbound,1201,17
2359,14,2,Outbound,4403,48
453,2,2,Outbound,1202,32
929,10,1,Outbound,6803,28
2268,35,1,Outbound,1011,5
2059,20,2,Outbound,9401,36
2304,11,2,Inbound,6601,3
342,7,3,Inbound,4102,0
824,35,1,Inbound,1011,47
285,7,2,Inbound,4102,0
46,7,1,Outbound,4103,4
443,14,3,Outbound,4401,48
210,16,1,Outbound,6603,42
1194,18,1,Outbound,6802,15
1376,21,1,Inbound,9902,31
247,2,3,Outbound,1201,32
1265,35,2,Outbound,1012,19
588,16,3,Outbound,6602,14
380,8,3,Outbound,4404,8
2311,11,2,Inbound,6603,3
725,33,3,Inbound,6602,78
1550,2,3,Inbound,6403,41
996,13,1,Inbound,4401,21
691,33,3,Outbound,6601,23
1720,9,1,Outbound,1201,17
1790,10,3,Inbound,6001,7
124,8,1,Outbound,4403,8
773,35,1,Outbound,1013,5
1679,5,1,Outbound,6002,1
1185,16,3,Inbound,6602,18
314,7,3,Outbound,4101,4
1578,5,3,Inbound,6001,22
1025,14,1,Outbound,4405,54
9,2,1,Outbound,6604,32
501,10,2,Inbound,6002,7
858,29,1,Outbound,4407,59
508,12,2,Outbound,6002,20
450,2,1,Outbound,6604,32
2078,20,3,Inbound,9401,9
472,29,1,Outbound,4404,59
2399,21,1,Inbound,9911,31
906,10,1,Outbound,6811,28
372,8,2,Inbound,4404,33
1200,18,1,Outbound,6802,15
86,7,1,Inbound,4101,0
1171,16,3,Inbound,6604,18
239,1,3,Outbound,6401,34
1069,15,1,Outbound,6401,53
1362,37,1,Outbound,9913,38
616,11,1,Outbound,9403,2
1962,15,3,Inbound,6403,40
808,35,1,Inbound,1013,47
1532,2,1,Inbound,4103,41
1880,13,3,Inbound,4403,21
1725,9,1,Outbound,1221,17
165,11,1,Inbound,9401,3
2283,11,2,Outbound,6603,2
914,10,1,Outbound,6804,28
1310,35,2,Inbound,1012,74
1184,16,3,Inbound,6601,18
1372,21,1,Outbound,9902,29
1328,35,2,Inbound,1012,74
409,10,2,Outbound,6002,28
923,10,1,Outbound,6803,28
1482,2,1,Outbound,4104,32
1612,28,1,Outbound,4211,12
1813,12,1,Inbound,6011,45
983,13,1,Inbound,4407,21
305,7,2,Inbound,4102,0
1134,16,2,Inbound,6601,18
1419,1,1,Inbound,1202,70
2361,14,2,Outbound,6201,48
1064,14,3,Inbound,4403,72
2374,14,2,Inbound,6201,72
1806,12,1,Outbound,6001,52
1364,37,1,Outbound,9902,38
1271,35,2,Outbound,1012,19
491,29,1,Inbound,4405,56
1127,16,1,Inbound,6603,18
524,12,2,Inbound,6003,24
1067,14,3,Inbound,4402,72
766,35,1,Outbound,1012,5
1080,15,1,Outbound,6402,53
195,14,1,Outbound,4404,54
1531,2,1,Inbound,6603,41
2167,18,3,Outbound,6801,15
2000,17,2,Outbound,6701,10
280,7,2,Outbound,4101,4
2314,11,2,Inbound,6601,3
